Sentence								
I didn't think I should have to pay for food with a maggot in it	I| didn't think| I should have to pay for food with a maggot in it	I| should have to pay| for food with a maggot in it						
Nothing was comped on the bill	the bill| came							
I told the manager very politely we were willing to pay for the wine	I| told| the manager| very politely| we were willing to pay for the wine	we| were willing| to pay for the wine						
There was maggot in my food	there| was| maggot in my food							
I will pay for wine	I| will pay| for wine							
The service was prompt	the service| was| prompt							
The service was courteous	the service| was| courteous							
Service was prompt	service| was| prompt							
Service was courteous	service| was| courteous							
Half of our order was missing	half of our order| was| missing							
It took 45 minutes	it| took| 45 minutes							
Half our order was missing	half our order| was| missing							
Service was friendly	service| was| friendly							
Service was great	service| was| great							
 Service was friendly	service| was| friendly							
 Service was great	service| was| great							
The waiter refused to bring me the the wine card	the waiter| refused| to bring me the the wine card							
We finally flagged someone	we| finally flagged| someone							
It was not the same person who dropped off the food	it| was not| the same person| who dropped off the food	[subject missing]| dropped off| the food						
It was a different person who took our order	it| was| a different person| who took our order	a different person| took| our order						
We were finally able to flag someone down	we| were finally able| to flag someone down							
It was someone entirely different from the person who had dropped off the food	it| was| someone entirely different from the person| who had dropped off the food	[subject missing]| had dropped off| the food						
It was not the person who had taken our order	it| was not| the person| who had taken our order							
Service was quick	service| was| quick							
We inquired about ports	we| inquired| about ports							
Waitress didn't know taste variations	waitress| didn't know| taste variations							
Waitress didn't know cost	waitress| didn't know| cost							
The waitress listed off several	the waitress| listed off| several							
She did not know taste variations	she| did not know| taste variations							
She did not know cost	she| did not know| cost							
The waitress listed off several ports	the waitress| listed off| several ports							
The waitress did not know taste variations or cost	the waitress| did not know| taste variations	the waitress| did not know| cost						
Service was slow	service| was| slow							
 We had to wait to order	we| had| to wait to order							
 We had to wait to get food	we| had| to wait to get food							
 It was not crowded	it| was not| crowded							
Service was not crowded	service| was| slow							
Had to wait to order	[subject missing]| had| to wait to order							
Had to order food	[subject mising]| had| to order food							
It was not crowded	it| was not| crowded							
I had to wait to order	I| had| to wait to order							
I had to wait to get food	I| had| to wait to get food							
We were sat	we| were sat							
We got great service	we| got| great service							
We got fast service	we| got| fast service							
We have great service	we| have| great service							
We have fast service	we| got| great service| when we sat	we| sat						
When we sat, we got great service	we| got| fast service| when we sat	we| sat						
When we sat, we got fast service	the people| were| friendly							
The people were friendly	service| was| small							
Service was small	people| were| friendly							
People were friendly	we| were offered| a meager discount							
We threatened to leave	we| threatened| to leave							
We were offered a meager discount	we| were offered| a meager discount							
Half the order was missing	half the order| was| missing							
we were offered a discount	we| were offered| a discount							
the discount was meager	the discount| was| meager							
Which lets face it	[subject missing]| let| face| s| it							
Let us face it	[subject missing]| let| us| face it							
Service was very good - prompt	service| was| very good	service| was| prompt						
Service was very good - attentive	service| was| very good	service| was| attentive						
Service was very good - non-intrusive	service| was| very good	service| was| non-intrusive						
Service was very good	service| was| very good							
Service was atentive	service| was| atentive							
Service was non-intrusive	service| was| non-intrusive							
Service was prompt, attentive and non-intrusive	service| was| prompt	service| was| attentive	service| was| non-intrusive					
I could have done without the youth who shared the evening with us	I| could have done| without the youth| who shared the evening with us	the youth| shared| the evening| with us						
Our server was wonderful	our server| was| wonderful							
Our experience was positive	our experience| was| positive							
I could have done without the youth	I| could have done| without the youth							
The youth shared the evening with us	the youth| shared| the evening| with us							
The server was wonderful	the server| was| wonderful							
The food was wonderful	the food| was| wonderful							
The experience was a positive one	the experience| was| a positive one							
While i could have done without the youth	i| could have done| without the youth							
The wonderful server made the experience positive	the wonderful server| made| the experience positive							
The food made the experience positive one	the food| made| the experience positive one							
Our service was prompt if a little rushed	our service| was| prompt| if a little rushed	our service| was| a little rushed						
Service was very prompt	service| was| very prompt							
Service was slightly rushed	service| was| slightly rushed							
Every place indeed is different	every place| indeed is| different							
There is not any need to be uncourteous to customers and downright rude	there| is not| any need to be uncourteous to customers and downright rude							
Every place is different	every place| is| different							
There was no need to be uncourteous	there| was| no need to be uncourteous							
There was no need to be rude to customers	there| was| no need to be rude to customers							
It is understandable that every place is different	it| is| understandable| that every place is different	every place| is| different						
There was no need to be rude	there| was| no need to be rude							
Mioposto's service was bad	Mioposto's service| was| bad							
The food was overpriced	the food| was| overpriced							
Most restaurants in Seattle are the same	most restaurants in Seattle| are| the same							
Mioposto's was overpriced	Mioposto's| was| overpriced							
As with most restaurants in Seattle, Mioposto's service was bad	Mioposto's service| was| bad| as with most restaurants in Seattle							
Wonderful service	service| is| wonderful							
Wonderful service it was	it| was| wonderful service							
Service was wonderful;	service| was| wonderful							
Service is wonderful	service| is| wonderful							
Winnie is the best serving you	Winnie| is| the best serving you							
Winnie's staff are the best at serving you	Winnie's staff| are| the best at serving you							
Winnie and her staff are the best crew you can find serving you	Winnie and her staff| are| the best crew you can find serving you							
Winnie and her staff are the best serving crew	Winnie and her staff| are| the best serving crew							
Mercedes restaurant is so tasty	Mercedes restaurant| is| so tasty							
The service is undeniably awesome	the service| is| undeniably awesome							
The restaurant is tasty	the restaurant| is| tasty							
The service is awesome	the service| is| awesome							
Mercedes restaurant is tasty	Mercedes restaurant| is| tasty							
 The awesome service is undeniable!	the awesome service| is| undeniable	service| is| awesome						
The service is friendly	the service| is| friendly							
The service is attentive	the service| is| attentive							
Service was attentive	service| was| attentive							
service is friendly	service| is| friendly							
service is attentive	service| is| attentive							
We were treated rudely here	we| were treated| rudely| here							
We were here for breakfast	we| were| here for breakfast							
we were treated very badly	we| were treated| very badly							
we had breakfast here one time	we| had| breakfast here one time							
We were treated badly for breakfast	we| were treated| badly for breakfast							
Won't is not in the service directory	won't| is not| in the service directory							
Can't is not in the service directory	can't| is not| in the service directory							
The service was excellent	the service| was| excellent							
I liked the setting	I| liked| the setting							
I liked the atmosphere a lot	I| liked| the atmosphere a lot							
The service was good	the service| was| good							
The atmosphere was pleasant	the atmosphere| was| pleasant							
Service was excellent	service| was| excellent							
I liked the setting a lot	I| liked| the setting a lot							
Worst Service I Ever Had	I| had| worst service ever							
Shame on this place for the horrible rude staff	this place| has| horrible rude staff							
Shame on this place for the non-existent customer service	this place| has| non-existent customer service							
This place is horrible	this place| is| horrible							
The staff were rude	the staff| were| rude							
There was no customer service	there| was| no customer service							
This place should be ashamed	this place| should be| ashamed							
The staff is horribly rude	the staff| is| horribly rude							
The customer service is non-existent	the customer service| is| non-existent							
You can get a table without a reservation if you get there early	you| can get| a table without a reservation| if you get there early	you| get| there| early						
They don't make you buy bottles	they| don't make| you buy bottles	you| buy| bottles						
You can get a table	you| can get| a table							
You don't need a reservation if you get there early	you| don't need| a reservation| if you get there early	you| get| there| early						
She doesn't make you feel welcome	she| doesn't make| you feel welcome	you| feel| welcome						
She treats you like an annoyance	she| treats| you| like an annoyance							
Did not feel welcome	[subject missing]| did not feel| welcome							
She nodded	she| nodded							
She walked off	she| walked off							
She just nodded	she| just nodded							
That is a must	that| is| a must							
Not every restaurant can do this	not every restaurant| can do| this							
Every restaurant must do	every restaurant| must do							
(that is A MUST, but not every restaurant can do...)	that| is| A MUST| but not every restaurant can do	not every restaurant| can do						
You can order to go	you| can order| to go							
You can order to go if you have to get back to the office too!	you| can order| to go| if you have to get back to the office| too	you| have| to get back to the office						
You need to watch your game	you| need| to watch your game							
They will have it on for you	they| will have| it on for you							
They will have the game on for you	they| will have| the game on for you							
You would think they would make up for it with service, sadly, no	you| would think| they would make up for it with service| sadly| no	they| would make up| for it| with service						
You would think the would make up for it with service	you| would think| the would make up for it with service	the| would make up| for it| with service						
They don't	they| don't							
They didn't make up for it with service	they| didn't make up| for it| with service							
6pm on a Sat before a Broadway play	[subject missing]| is| 6pm on a Sat before a Broadway play							
We were quickly seated and served	we| were seated| quickly	we| were served| quickly						
It was 6pm on a Saturday	it| was| 6pm on a Saturday							
It was before a Broadway play	it| was| before a Broadway play							
We were quickly seated	we| were seated| quickly							
We were quickly served	we| were served| quickly							
6PM on Saturday before a Broadway play	[subject missing]| is| 6PM on Saturday before a Broadway play							
There was a brief conversation with the manager	there| was| a brief conversation| with the manager							
It was at the end of the meal	it| was| at the end of the meal							
It was the greatest disappointment	it| was| the greatest disappointment							
There was a conversation with the manager	there| was| a conversation| with the manager							
It was brief	it| was| brief							
The conversation was a disappointment	the conversation| was| a disappointment							
The conversation was brief	the conversation| was| brief							
We talked with the manager at the end of the meal	we| talked| with the manager| at the end of the meal							
Enhanced the fun	[subject missing]| Enhanced| the fun							
The server dumped our entrees	the server| dumped| our entrees							
In front of us	[subject missing]| is| in front of us							
Through our appetizer	[subject missing]| is| through our appetizer							
It was delicious	it| was| delicious							
There was a different server	there| was| a different server							
He enhanced the fun	he| enhanced| the fun							
He dumped our entrees in front of us	he| dumped| our entrees| in front of us							
He served us halfway through our appetizer	he| served| us| halfway through our appetizer							
The appetizer was delicious	the appetizer| was| delicious							
A different server enhanced the fun	a different server| enhanced| the fun							
The server dumped our entrees in front of us	the server| dumped| our entrees| in front of us							
A gentleman came to our table	a gentleman| came| to our table							
Without so much as a smile asked for our order	[subject missing]| asked| for our order| without so much as a smile							
A gentleman came without a smile	a gentleman| came| without a smile							
A gentleman without a smile	a gentleman| is| without a smile							
A gentleman is the manager	a gentleman| is| the manager							
A gentleman came without so much as a smile or greeting	a gentleman| came| without so much as a smile	a gentleman| came| without so much as a greeting						
A gentleman is asked for order	a gentleman| is asked| for order							
The gentleman came to our table	the gentleman| came| to our table							
The gentleman did not smile	the gentleman| did not smile							
The gentleman did not greet us	the gentleman| did not greet| us							
He asked for our order	he| asked| for our order							
She promised to speak to the waitress	she| promised| to speak to the waitress							
The waitress had flown off in a rage	the waitress| had flown off| in a rage							
We could hardly take her promise seriously	we| could hardly take| her promise| seriously							
She hadn't bothered to get the waitress's name	she| hadn't bothered| to get the waitress's name							
She didn't bothered to get the waitresses name	she| didn't bothered| to get the waitresses name							
The waitress was rude	the waitress| was| rude							
She didn't get the waitress's name	she| didn't get| the waitress's name							
They are a little crowded	they| are| a little crowded							
They move that line really fast!	they| move| that line| really fast							
A line was little crowded	a line| was| little crowded							
They moved that line really fast	they| moved| that line| really fast							
A little crowded	[subject missing]| is| a little crowded							
They move the line fast	they| move| the line| fast							
She replied	she| replied							
You can't dine here	you| can't dine| here							
You can't disturb the maitre-D	you| can't disturb| the maitre-D							
You can't disturb the maitre d	you| can't disturb| the maitre d							
She put the check down	she| put down| the check							
She didn't ask if we were done	she| didn't ask| if we were done	we| were| done						
She came to check on the bill every two minutes	she| came| to check on the bill| every two minutes							
We were one of three occupied tables	we| were| one of three occupied tables							
She then put the check down without asking if we were done	she| put down| the check| without asking if we were done| then	we| were| done						
She did not ask if we were done	she| did not ask| if we were done	we| were| done						
they have great food	they| have| great food							
Their prices are reasonable	their prices| are| reasonable							
The service was great	the service| was| great							
The food was great	the food| was| great							
The price was reasonable	the price| was| reasonable							
The evening was great	the evening| was| great							
Great service	service| is| great							
Great food	food| is| great							
Reasonable price	price| is| reasonable							
Have yourself the beginning of a great evening	[subject missing]| have| the beginning of a great evening| yourself							
She was very helpful in suggesting us drink	she| was| very helpful in suggesting us drink							
She helped us in ordering a lot of good dishes	she| helped| us| in ordering a lot of good dishes							
We knew nothing about Indian food	we| knew| nothing about Indian food							
She was very helpful	she| was| very helpful							
She suggested us drinks	she| suggested| us| drinks							
She helped us order	she| helped| us| order							
We ordered a lot of good dishes	we| ordered| a lot of good dishes							
She was very helpful in suggesting us drinks	she| was| very helpful in suggesting us drinks							
We know nothing about Indian food	we| know| nothing about Indian food							
They should check on us more often	they| should check| on us| more often							
They complained to me about the small tip	they| complained| to me| about the small tip							
They complained to me	they| complained| to me							
It was about the tip	it| was| about the tip							
The tip was small	the tip| was| small							
They complained about the tip	they| complained| about the tip							
After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.	the manager| grabbed| my boyfriend| after dinner| asked him: Where are you from...maybe you dont know how things work in America...| and in the end stormed away almost teareyed yelling that tips are the only thing they survive on	the manager| asked| him: Where are you from...maybe you dont know how things work in America...	you| dont know| how things work in America...| maybe	the manager| stormed away| almost teareyed| yelling that tips are the only thing they survive on	tips| are| the only thing they survive on			
The manager asked my boyfriend a question	the manager| asked| my boyfriend| a question							
The manager made a scene	the manager| made| a scene							
The manager grabbed my boyfriend after dinner	the manager| grabbed| my boyfriend| after dinner							
The manager asked him where he was from	the manager| asked| him| where he was from	he| was| from where						
He suggested my boyfriend doesn't know how things work in America	he| suggested| my boyfriend doesn't know how things work in America	my boyfriend| doesn't know| how things work in America						
Finally he said tips are the only thing they survive on	he| said| tips are the only thing they survive on| finally	tips| are| the only thing they survive on						
One member of our party was bumped repeatedly by a waitress	one member of our party| was| bumped repeatedly by a waitress							
A waitress repeatedly bumped one member of our party	a waitress| repeatedly bumped| one member of our party							
A polite request that he not be bumped sent the waitress into an abusive rant	a polite request that he not be bumped| sent| the waitress into an abusive rant							
One member of our party was bumped repeatedly	one member of our party| was bumped| repeatedly							
They were bumped by a waitress	they| were bumped| by a waitress							
We politely requested not to be bumped	we| politely requested| not to be bumped							
The waitress went into a rant	the waitress| went| into a rant							
The rant was abusive	the rant| was| abusive							
The waitress went on an abusive rant	the waitress| went| on an abusive rant							
Snotty Attitude	attitude| is| snotty							
Attitude snotty	attitude| is| snotty							
So rude	[subject missing]| is| so rude							
So rude!!!	[subject missing]| is| so rude							
We were sitting at the bar for over 30 minutes	we| were sitting| at the bar| for over 30 minutes							
The bar keep had made only 2 drinks	the bar keep| had made| only 2 drinks							
The bar keep kept telling us she'd be right with us	the bar keep| kept telling| us| she'd be right with us	she| 'd be| right with us						
The bar keep made only 2 drinks	the bar keep| made| only 2 drinks							
We sat at the bar for over 20 minutes	we| sat| at the bar| for over 20 minutes							
The bar keep had made only two drinks	the bar keep| had made| only two drinks							
Rushing us out wasn't necessary	rushing us out| wasn't| necessary							
They rushed us out unnecessarily	they| rushed| us out| unnecessarily							
They rushed us	they| rushed| us							
It was unnecessary to rush us	it| was| unnecessary to rush us							
So rushing us out was absolutely unnecessary!	rushing us out| was| absolutely unnecessary| so							
After sitting there with my empty glass for over 20 minutes I left	I| left| after sitting there with my empty glass for over 20 minutes	I| sitting| there| with my empty glass| for over 20 minutes						
I sat with my glass	I| sat| with my glass							
My glass was empty	my glass| was| empty							
I sat for over twenty minutes	I| sat| for over twenty minutes							
I left afterwards	I| left| afterwards							
I sat there with my empty glass for over 20 minutes	I| sat| there| with my empty glass| for over 20 minutes							
I left	I| left							
I sat there for over 20 minutes with my empty glass	I| sat| there| for over 20 minutes| with my empty glass							
If you're thinking about dining, see who's going to be seating you first	[subject missing]| see| who's going to be seating you| first| if you're thinking about dining	you| 're thinking| about dining	who| 's going to be seating| you					
See who's going to be seating you first before dining	[subject missing]| see| who's going to be seating you| first| before dining	who| 's going to be seating| you						
If you are walking by and thinking about dining	you| are walking by| if	you| are thinking| about dining| if						
You might want to see who is seating you first	you| might want| to see who is seating you| first	who| is seating| you						
So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first	you| might want| to see who's going to be seating you| first| if you're walking by and thinking about dining| so	you| 're walking by	who| 's going to be seating| you	you| 're thinking| about dining				
She just took our plates and walked away	she| just took| our plates	she| walked away						
She came back after twenty minutes with the bill and the chicken on it	she| came back| after twenty minutes| with the bill and the chicken on it							
She took our plates	she| took| our plates							
She took our plates away for twenty minutes	she| took| our plates away| for twenty minutes							
She came with the bill after twenty minutes	she| came| with the bill| after twenty minutes							
She came with the bill and the chicken	she| came| with the bill	she| came| with the chicken						
She came with chicken after twenty minutes	she| came| with chicken| after twenty minutes							
She simply took our plates	she| simply took| our plates							
She walked away	she| walked away							
She came back	she| came back							
It was twenty minutes later	it| was| twenty minutes later							
She had the bill	she| had| the bill							
It had the chicken on it	it| had| the chicken on it							
mille grazie does not constitute proper service	mille grazie| does not constitute| proper service							
somehow working the italian charm	[subject missing]| working| the italian charm| somehow							
They worked the Italian charm	they| worked| the Italian charm							
It does not constitute proper service	it| does not constitute| proper service							
Somehow working the Italian charm with constant mille grazie does not constitute proper service	working the Italian charm with constant mille grazie| does not constitute| proper service| somehow							
After the 4th time i asked again	i| asked| again| after the 4th time							
The waiter said after our dinner	the waiter| said| after our dinner							
The waiter than said after our dinner	the waiter| said| after our dinner| than							
I asked 4 times	I| asked| 4 times							
I asked 4 times before the waiter said after our dinner	I| asked| 4 times| before the waiter said after our dinner	the waiter| said| after our dinner						
Sometimes tables don't understand his sense of humor	tables| don't understand| his sense of humor| sometimes							
But it's refreshing to have a server who has personality	it| 's refreshing| to have a server who has personality| but	server| has| personality						
It's refreshing to have a server who has professionalism	It|'s refreshing| to have a server who has professionalism	server| has| professionalism						
It's refreshing to have a server who respects the privacy of your dinner	It| 's refreshing| to have a server who respects the privacy of your dinner	server| respects| the privacy of your dinner						
The server is funny	the server| is| funny							
The server has personality	the server| has| personality							
The server has professionalism	the server| has| professionalism							
The server respects your dinner privacy	the server| respects| your dinner privacy							
It's refreshing to have a server who has personality	It| 's refreshing| to have a server who has personality	server| has| personality						
Again, I'd be super upset if that were my employee	I| 'd be| super upset| if that were my employee| again	that| were| my employee						
I'd be super upset	I| 'd be| super upset							
That were my employee	that| were| my employee							
I would not want to employ that member of staff	I| would not want| to employ that member of staff							
Staff is very accomodating	staff| is| very accomodating							
The staff is very accommodating	the staff| is| very accommodating							
He stepped on my foot	he| stepped| on my foot							
It was on the second time he reached over me to adjust lighting	it| was| on the second time he reached over me to adjust lighting	he| reached| over me| to adjust lighting						
He reached over me to adjust lighting	he| reached| over me| to adjust lighting							
He stepped on my foot on the SECOND time	he| stepped| on my foot on the SECOND time							
Such a disappointment	[subject missing]| is| such a disappointment							
supercilious scorn is in	supercilious scorn| is| in							
Service is terrible	service| is| terrible							
Food is ok	food| is| ok							
Food is pricey	food| is| pricey							
The service was terrible	the service| was| terrible							
The food was OK	the food| was| OK							
The food was pricey	the food| was| pricey							
Terrible service	service| is| terrible							
Food ok	food| is| ok							
There was no apology	there| was| no apology							
They didn't ask if there was anything else they could get us	they| didn't ask| if there was anything else they could get us	there| was| anything else they could get us	they| could get| us					
They didn't get us a drink to make up for it	they| didn't get| us| a drink to make up for it							
There was no apology or anything to make up for it	there| was| no apology or anything to make up for it							
there was no free drink to make up for bad service	there| was| no free drink to make up for bad service							
there was no offer to make up	there| was| no offer to make up							
Terrible, terrible management	management| is| terrible| terrible							
Deserves to be shut down	[subject missing]| deserves| to be shut down							
It deserves to be shut-down	it| deserves| to be shut-down							
Terrible management	management| is| terrible							
Thalia is a beautiful restaurant	Thalia| is| a beautiful restaurant							
Thalia restaurant has beautiful people	Thalia restaurant| has| beautiful people							
The food doesn't quite match up	the food| doesn't quite match up							
Thalia has beautiful people serving you	Thalia| has| beautiful people serving you	beautiful people| are| serving you						
Thalia's food does not match up with the beauty of the restaurant	Thalia's food| does not match up| with the beauty of the restaurant							
Beautiful people serve there	beautiful people| serve| there							
All the staff is absolutely professional!!	all the staff| is| absolutely professional							
The staff is absolutely professional!!	the staff| is| absolutely professional							
The staff is professional!!	the staff| is| professional							
The staff is professional	the staff| is| professional							
THERE WAS A BIG COMPLAINT	THERE| WAS| A BIG COMPLAINT							
NO TOASTING WAS AVAILABLE	NO TOASTING| WAS| AVAILABLE							
You can have it if it's not in the menu	you| can have| it| if it's not in the menu	it| 's not| in the menu						
Food not on the menu cannot be ordered	food not on the menu| cannot be ordered							
Don't plan on asking for your favorite roll	[subject missing]| don't plan| on asking for your favorite roll							
 You can't have it if it's not on the menu	you| can't have| it| if it's not on the menu	it| 's not| on the menu						
Worker fixed my table	worker| fixed| my table							
 Shaking table was fixed	shaking table| was| fixed							
 Boy fixed my table	boy| fixed| my table							
 He steaded my table	he| steaded| my table							
 He fixed my table	he| fixed| my table							
The bus boy spotted that my table was shaking	the bus boy| spotted| that my table was shaking	my table| was shaking						
He stabilized it for me	he| stabilized| it| for me							
The bus boy noticed my unsteady table	the bus boy| noticed| my unsteady table							
My table was unstable	my table| was| unstable							
He helped to stop the shaking	he| helped| to stop the shaking							
Waiters try to push more food on you	waiters| try| to push more food on you							
They suggest things as if they are complimentary	they| suggest| things| as if they are complimentary	they| are| complimentary						
They actually cost money	they| cost| money| actually							
Waiters push food	waiters| push| food							
Waiters suggest things	waiters| suggest| things							
Waiters push more food on you	waiters| push| more food| on you							
Waiters act as if food is free	waiters| act| as if food is free	food| is| free						
The food costs money	the food| costs| money							
The counter service is bad	the counter service| is| bad							
Although the service could be improved considering the money you put in	the service| could be improved| considering the money you put in| although	you| put in| money						
The service could be improved considering the money you put in	the service| could be improved| considering the money you put in	you| put in| money						
Considering the money you put in the service could be improved	the service| could be improved| considering the money you put in	you| put in| money						
The service could be improved	the service| could be improved							
Considering the money	[subject missing]| considering| the money							
Money you put in	you| put in| money							
They do the typical	they| do| the typical							
Overall very relaxing	[subject missing]| is| overall very relaxing							
Place to eat	place| is| to eat							
It was a very relaxing place to eat	it| was| a very relaxing place to eat							
They ask what water you would like	they| ask| what water you would like							
It is a relaxing place to eat	it| is| a relaxing place to eat							
We were told 10-15 minutes	we| were told| 10-15 minutes							
It was more like 45 minutes	it| was| more like 45 minutes							
It took about 45 minutes	it| took| about 45 minutes							
It's always busy	it| 's| busy| always							
It's always fast moving	it| 's| fast moving| always							
It's fast-paced	it| 's| fast-paced							
The dishes came out around 5 minutes apart	the dishes| came out| around 5 minutes apart							
The dishes came out	the dishes| came out							
The dishes were 5 minutes apart	the dishes| were| 5 minutes apart							
The dishes came out in 5 minutes	the dishes| came out| in 5 minutes							
Quick service	service| is| quick							
Always busy, but they are good at seating you promptly	[subject missing]| is| always busy| but they are good at seating you promptly	they| are| good at seating you promptly						
Always busy, but they have quick service	[subject missing]| is| always busy| but they have quick service	they| have| quick service						
They are always busy	they| are| always busy							
They are good at seating you promptly	they| are| good at seating you promptly							
They have quick service	they| have| quick service							
The staff was accomodating	the staff| was| accomodating							
The staff tended to my every need	the staff| tended| to my every need							
The staff was extremely accommodating	the staff| was| extremely accommodating							
The service is always great	the service| is| great| always							
The food arrived in about 15 minutes	the food| arrived| in about 15 minutes							
The food arrived in 15 minutes	the food| arrived| in 15 minutes							
The food arrived within 15 minutes	the food| arrived| within 15 minutes							
The food arrived	the food| arrived							
It took about 15 minutes	it| took| about 15 minutes							
An excellent service	service| is| excellent							
The food is prepared quickly	the food| is prepared| quickly							
The food is prepared efficiently	the food| is prepared| efficiently							
And even with it's Pub atmosphere they were great to my kids too!	they| were| great to my kids| too| even with it's Pub atmosphere							
It had a pub atmosphere	it| had| a pub atmosphere							
They were great to my kids	they| were| great to my kids							
It has a pub atmosphere	it| has| a pub atmosphere							
The frizzy retro girl had winged Dame Edna glasses	the frizzy retro girl| had| winged Dame Edna glasses							
The girl will yell at you	the girl| will yell| at you							
If you order a drink you will be yelled at	you| will be yelled at| if you order a drink	you| order| a drink						
The frizzy retro girl with winged will yell at you	the frizzy retro girl with winged| will yell| at you							
The frizzy retro girl with Dame Edna glasses will yell at you	the frizzy retro girl with Dame Edna glasses| will yell| at you							
The frizzy retro girl will yell at you if you try to order a drink	the frizzy retro girl| will yell| at you| if you try to order a drink	you| try| to order a drink						
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink	the frizzy retro girl (with winged/ Dame Edna glasses)| will yell| at you| if you try to order a drink	you| try| to order a drink						
 They did not venture a glance at people there helping them make rent	they| did not venture| a glance at people there helping them make rent	people| helping| them| make rent						
Pick up the napkins	[subject missing]| pick up| the napkins							
Inspect the napkins	[subject missing]| inspect| the napkins							
Return the napkins	[subject missing]| return| the napkins							
Don't look at people	[subject missing]| don't look| at people							
Pay the rent	[subject missing]| pay| the rent							
The hostess was incredibly rude	the hostess| was| incredibly rude							
The waitress was incredibly rude	the waitress| was| incredibly rude							
The hostess did everything she could to rush us out	the hostess| did| everything she could to rush us out							
The waitress did everything she could to rush us out	the waitress| did| everything she could to rush us out							
The hostess and the waitress were rude	the hostess| was| rude	the waitress| was| rude						
The hostess and the waitress did everything	the hostess| did| everything	the waitress| did| everything						
The hostess and the waitress rush us out	the hostess| rush| us out	the waitress| rush| us out						
the hostess was rude	the hostess| was| rude							
the hostess was offensive	the hostess| was| offensive							
The hostess is rude	the hostess| is| rude							
The hostess is offensive	the hostess| is| offensive							
The hostess is rude to the point of being offensive	the hostess| is| rude to the point of being offensive							
It was quick	it| was| quick							
That is very important	that| is| very important							
And it was quick	it| was| quick| and							
Which is very important	which| is| very important							
This is important	this| is| important							
I felt like they did not want to serve us	I| felt| like they did not want to serve us	they| did not want| to serve us						
I got a distinct feeling	I| got| a distinct feeling							
They did not want to serve us	they| did not want| to serve us							
The service was simply splendid	the service| was| simply splendid							
It was quite a delight	it| was| quite a delight							
The service was splendid	the service| was| splendid							
The service was quite a delight	the service| was| quite a delight							
the service was delightful	the service| was| delightful							
The waiter suggested a perfect sake	the waiter| suggested| a perfect sake							
And the waiter suggested a perfect sake!	the waiter| suggested| a perfect sake| and							
The waiter suggested a perfect sake!!	the waiter| suggested| a perfect sake							
They packaged everything nicely	they| packaged| everything nicely							
It didn't spill	it| didn't spill							
And they packaged everything nicely so it didn't spill	they| packaged| everything nicely| so it didn't spill| and	it| didn't spill						
The hostess was pleasant	the hostess| was| pleasant							
The hostess was very nice	the hostess| was| very nice							
The hostess were pleasant	the hostess| were| pleasant							
The hostess was very pleasant	the hostess| was| very pleasant							
No one stopped by the table	no one| stopped| by the table							
Any further needs we may have had could not have been met	any further needs we may have had| could not have been met	we| may have had| further needs						
No one stopped at the table	no one| stopped| at the table							
The kitchen however, is almost always slow	the kitchen| is| almost always slow| however							
The kitchen is always slow	the kitchen| is| always slow							
Appetizers took nearly an hour	appetizers| took| nearly an hour							
The owner was seated next to us	the owner| was seated| next to us							
