Sentence									
She did not know taste variations									
She did not know cost									
The waitress listed off several ports									
The waitress did not know taste variations or cost									
Service was slow									
 We had to wait to order									
 We had to wait to get food									
 It was not crowded									
Service was not crowded									
Had to wait to order									
Had to order food									
It was not crowded									
I had to wait to order									
I had to wait to get food									
We were sat									
We got great service									
We got fast service									
We have great service									
We have fast service									
When we sat, we got great service									
When we sat, we got fast service									
The people were friendly									
Service was small									
People were friendly									
We threatened to leave									
We were offered a meager discount									
Half the order was missing									
we were offered a discount									
the discount was meager									
Which lets face it									
At times it's a good thing									
Which lets face it....at times it's a good thing.									
Let us face it									
Service was very good - prompt									
Service was very good - attentive									
Service was very good - non-intrusive									
Service was very good									
Service was atentive									
Service was non-intrusive									
Service was prompt, attentive and non-intrusive									
I could have done without the youth who shared the evening with us									
Our server was wonderful									
Our experience was positive									
I could have done without the youth									
The youth shared the evening with us									
The server was wonderful									
The food was wonderful									
The experience was a positive one									
While i could have done without the youth									
The wonderful server made the experience positive									
The food made the experience positive one									
Our service was prompt if a little rushed									
Service was very prompt									
Service was slightly rushed									
Every place indeed is different									
There is not any need to be uncourteous to customers and downright rude									
Every place is different									
There was no need to be uncourteous									
There was no need to be rude to customers									
It is understandable that every place is different									
There was no need to be rude									
Mioposto's service was bad									
The food was overpriced									
Most restaurants in Seattle are the same									
Mioposto's was overpriced									
As with most restaurants in Seattle, Mioposto's service was bad									
Wonderful service									
Wonderful service it was									
Service was wonderful;									
Service is wonderful									
Winnie is the best serving you									
Winnie's staff are the best at serving you									
Winnie and her staff are the best crew you can find serving you									
Winnie and her staff are the best serving crew									
Mercedes restaurant is so tasty									
The service is undeniably awesome									
The restaurant is tasty									
The service is awesome									
Mercedes restaurant is tasty									
 The awesome service is undeniable!									
The service is friendly									
The service is attentive									
Service was attentive									
service is friendly									
service is attentive									
We were treated rudely here									
We were here for breakfast									
we were treated very badly									
we had breakfast here one time									
We were treated badly for breakfast									
Won't is not in the service directory									
Can't is not in the service directory									
The service was excellent									
I liked the setting									
I liked the atmosphere a lot									
The service was good									
The atmosphere was pleasant									
Service was excellent									
I liked the setting a lot									
Worst Service I Ever Had									
Shame on this place for the horrible rude staff									
Shame on this place for the non-existent customer service									
This place is horrible									
The staff were rude									
There was no customer service									
This place should be ashamed									
The staff is horribly rude									
The customer service is non-existent									
You can get a table without a reservation if you get there early									
They don't make you buy bottles									
You can get a table									
You don't need a reservation if you get there early									
She doesn't make you feel welcome									
She treats you like an annoyance									
Did not feel welcome									
She nodded									
She walked off									
She just nodded									
That is a must									
Not every restaurant can do this									
Every restaurant must do									
(that is A MUST, but not every restaurant can do...)									
You can order to go									
You can order to go if you have to get back to the office too!									
You need to watch your game									
They will have it on for you									
They will have the game on for you									
You would think they would make up for it with service, sadly, no									
You would think the would make up for it with service									
They don't									
They didn't make up for it with service									
6pm on a Sat before a Broadway play									
We were quickly seated and served									
It was 6pm on a Saturday									
It was before a Broadway play									
We were quickly seated									
We were quickly served									
6PM on Saturday before a Broadway play									
There was a brief conversation with the manager									
It was at the end of the meal									
It was the greatest disappointment									
There was a conversation with the manager									
It was brief									
The conversation was a disappointment									
The conversation was brief									
We talked with the manager at the end of the meal									
Enhanced the fun									
The server dumped our entrees									
In front of us									
Through our appetizer									
It was delicious									
There was a different server									
He enhanced the fun									
He dumped our entrees in front of us									
He served us halfway through our appetizer									
The appetizer was delicious									
A different server enhanced the fun									
The server dumped our entrees in front of us									
A gentleman came to our table									
Without so much as a smile asked for our order									
A gentleman came without a smile									
A gentleman without a smile									
A gentleman is the manager									
A gentleman came without so much as a smile or greeting									
A gentleman is asked for order									
The gentleman came to our table									
The gentleman did not smile									
The gentleman did not greet us									
He asked for our order									
She promised to speak to the waitress									
The waitress had flown off in a rage									
We could hardly take her promise seriously									
She hadn't bothered to get the waitress's name									
She didn't bothered to get the waitresses name									
The waitress was rude									
She didn't get the waitress's name									
They are a little crowded									
They move that line really fast!									
A line was little crowded									
They moved that line really fast									
A little crowded									
They move the line fast									
She replied									
You can't dine here									
You can't disturb the maitre-D									
You can't disturb the maitre d									
She put the check down									
She didn't ask if we were done									
She came to check on the bill every two minutes									
We were one of three occupied tables									
She then put the check down without asking if we were done									
She did not ask if we were done									
they have great food									
Their prices are reasonable									
The service was great									
The food was great									
The price was reasonable									
The evening was great									
Great service									
Great food									
Reasonable price									
Have yourself the beginning of a great evening									
She was very helpful in suggesting us drink									
She helped us in ordering a lot of good dishes									
We knew nothing about Indian food									
She was very helpful									
She suggested us drinks									
She helped us order									
We ordered a lot of good dishes									
She was very helpful in suggesting us drinks									
We know nothing about Indian food									
They should check on us more often									
They complained to me about the small tip									
They complained to me									
It was about the tip									
The tip was small									
They complained about the tip									
After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.									
The manager asked my boyfriend a question									
The manager made a scene									
The manager grabbed my boyfriend after dinner									
The manager asked him where he was from									
He suggested my boyfriend doesn't know how things work in America									
Finally he said tips are the only thing they survive on									
One member of our party was bumped repeatedly by a waitress									
A waitress repeatedly bumped one member of our party									
A polite request that he not be bumped sent the waitress into an abusive rant									
One member of our party was bumped repeatedly									
They were bumped by a waitress									
We politely requested not to be bumped									
The waitress went into a rant									
The rant was abusive									
The waitress went on an abusive rant									
Snotty Attitude									
Attitude snotty									
So rude									
So rude!!!									
We were sitting at the bar for over 30 minutes									
The bar keep had made only 2 drinks									
The bar keep kept telling us she'd be right with us									
The bar keep made only 2 drinks									
We sat at the bar for over 20 minutes									
The bar keep had made only two drinks									
Rushing us out wasn't necessary									
They rushed us out unnecessarily									
They rushed us									
It was unnecessary to rush us									
So rushing us out was absolutely unnecessary!									
After sitting there with my empty glass for over 20 minutes I left									
I sat with my glass									
My glass was empty									
I sat for over twenty minutes									
I left afterwards									
I sat there with my empty glass for over 20 minutes									
I left									
I sat there for over 20 minutes with my empty glass									
If you're thinking about dining, see who's going to be seating you first									
See who's going to be seating you first before dining									
If you are walking by and thinking about dining									
You might want to see who is seating you first									
So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first									
She just took our plates and walked away									
She came back after twenty minutes with the bill and the chicken on it									
She took our plates									
She took our plates away for twenty minutes									
She came with the bill after twenty minutes									
She came with the bill and the chicken									
She came with chicken after twenty minutes									
She simply took our plates									
She walked away									
She came back									
It was twenty minutes later									
She had the bill									
It had the chicken on it									
mille grazie does not constitute proper service									
somehow working the italian charm									
They worked the Italian charm									
It does not constitute proper service									
Somehow working the Italian charm with constant mille grazie does not constitute proper service									
After the 4th time i asked again									
The waiter said after our dinner									
The waiter than said after our dinner									
I asked 4 times									
I asked 4 times before the waiter said after our dinner									
Sometimes tables don't understand his sense of humor									
But it's refreshing to have a server who has personality									
It's refreshing to have a server who has professionalism									
It's refreshing to have a server who respects the privacy of your dinner									
The server is funny									
The server has personality									
The server has professionalism									
The server respects your dinner privacy									
It's refreshing to have a server who has personality									
Again, I'd be super upset if that were my employee									
I'd be super upset									
That were my employee									
I would not want to employ that member of staff									
Staff is very accomodating									
The staff is very accommodating									
He stepped on my foot									
It was on the second time he reached over me to adjust lighting									
He reached over me to adjust lighting									
He stepped on my foot on the SECOND time									
Such a disappointment									
supercilious scorn is in									
Service is terrible									
Food is ok									
Food is pricey									
The service was terrible									
The food was OK									
The food was pricey									
Terrible service									
Food ok									
There was no apology									
They didn't ask if there was anything else they could get us									
They didn't get us a drink to make up for it									
There was no apology or anything to make up for it									
there was no free drink to make up for bad service									
there was no offer to make up									
Terrible, terrible management									
Deserves to be shut down									
It deserves to be shut-down									
Terrible management									
Thalia is a beautiful restaurant									
Thalia restaurant has beautiful people									
The food doesn't quite match up									
Thalia has beautiful people serving you									
Thalia's food does not match up with the beauty of the restaurant									
Beautiful people serve there									
All the staff is absolutely professional!!									
The staff is absolutely professional!!									
The staff is professional!!									
The staff is professional									
THERE WAS A BIG COMPLAINT									
NO TOASTING WAS AVAILABLE									
You can have it if it's not in the menu									
Food not on the menu cannot be ordered									
Don't plan on asking for your favorite roll									
 You can't have it if it's not on the menu									
Worker fixed my table									
 Shaking table was fixed									
 Boy fixed my table									
 He steaded my table									
 He fixed my table									
The bus boy spotted that my table was shaking									
He stabilized it for me									
The bus boy noticed my unsteady table									
My table was unstable									
He helped to stop the shaking									
Waiters try to push more food on you									
They suggest things as if they are complimentary									
They actually cost money									
Waiters push food									
Waiters suggest things									
Waiters push more food on you									
Waiters act as if food is free									
The food costs money									
The counter service is bad									
Although the service could be improved considering the money you put in									
The service could be improved considering the money you put in									
Considering the money you put in the service could be improved									
The service could be improved									
Considering the money									
Money you put in									
They do the typical									
Overall very relaxing									
Place to eat									
It was a very relaxing place to eat									
They ask what water you would like									
It is a relaxing place to eat									
We were told 10-15 minutes									
It was more like 45 minutes									
It took about 45 minutes									
It's always busy									
It's always fast moving									
It's fast-paced									
The dishes came out around 5 minutes apart									
The dishes came out									
The dishes were 5 minutes apart									
The dishes came out in 5 minutes									
Quick service									
Always busy, but they are good at seating you promptly									
Always busy, but they have quick service									
They are always busy									
They are good at seating you promptly									
They have quick service									
The staff was accomodating									
The staff tended to my every need									
The staff was extremely accommodating									
The service is always great									
The food arrived in about 15 minutes									
The food arrived in 15 minutes									
The food arrived within 15 minutes									
The food arrived									
It took about 15 minutes									
An excellent service									
The food is prepared quickly									
The food is prepared efficiently									
And even with it's Pub atmosphere they were great to my kids too!									
It had a pub atmosphere									
They were great to my kids									
It has a pub atmosphere									
The frizzy retro girl had winged Dame Edna glasses									
The girl will yell at you									
If you order a drink you will be yelled at									
The frizzy retro girl with winged will yell at you									
The frizzy retro girl with Dame Edna glasses will yell at you									
The frizzy retro girl will yell at you if you try to order a drink									
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink									
 They did not venture a glance at people there helping them make rent									
Pick up the napkins									
Inspect the napkins									
Return the napkins									
Don't look at people									
Pay the rent									
The hostess was incredibly rude									
The waitress was incredibly rude									
The hostess did everything she could to rush us out									
The waitress did everything she could to rush us out									
The hostess and the waitress were rude									
The hostess and the waitress did everything									
The hostess and the waitress rush us out									
the hostess was rude									
the hostess was offensive									
The hostess is rude									
The hostess is offensive									
The hostess is rude to the point of being offensive									
It was quick									
That is very important									
And it was quick									
Which is very important									
This is important									
I felt like they did not want to serve us									
I got a distinct feeling									
They did not want to serve us									
The service was simply splendid									
It was quite a delight									
The service was splendid									
The service was quite a delight									
the service was delightful									
The waiter suggested a perfect sake									
And the waiter suggested a perfect sake!									
The waiter suggested a perfect sake!!									
They packaged everything nicely									
It didn't spill									
And they packaged everything nicely so it didn't spill									
The hostess was pleasant									
The hostess was very nice									
The hostess were pleasant									
The hostess was very pleasant									
No one stopped by the table									
Any further needs we may have had could not have been met									
No one stopped at the table									
The kitchen however, is almost always slow									
The kitchen is always slow									
Appetizers took nearly an hour									
The owner was seated next to us									
The owner came over to check on our problems									
The owner offered a token 20% discount on our bill									
The owner was very dismissive									
The owner offer a token 20% discount on our bill									
The owner sat next to us									
The owner came over									
We had a problem									
The owner was dismissive									
The owner offered a discount									
He was rude									
It was preposterous									
The rudeness was preposterous									
The servers were very rude									
Many other reviewers noticed it									
Your order is often slow to arrive									
This is particularly true in the evening									
It is not a problem during lunch time									
The order is slow to arrive									
Order is slow to arrive in evening									
The manager came to the tabled									
The manager asked what we wanted									
We paid									
We walked out									
The manager came to the table									
The manager said we can do what we want									
We paid for what we enjoyed									
We paid for the drinks									
We paid for the appetizers									
The manager continually interrupted									
The manager continually interrupted with									
Manager comp two glasses of wine									
Comp seems like a big concession									
The manager said he would comp the 2 glasses of wine									
The manager said he would comp the two glass of wine									
The two glasses of wine cost less than the food									
The manager made it seem like a big concession									
As part of small party									
Our food was dropped									
We were a small party of four									
So our food was dropped off without comment									
The food was dropped									
The manager was rude									
The manager handled the situation extremely poorly									
 The manager did a bad job									
 The manager was terrible									
The manager was disrepectful									
 The manager was awful									
As to my comment about the food, no apology was made									
As to my comment about the food, no acknowledgment was made									
I made a comment about the food									
There was no apology made									
There was no acknowledgment made									
A comment about the food was made									
The did not apologize about the food									
They did not acknowledge my comment									
The nicest waiters									
The nicest waiters in town									
The waiters are the nicest in town									
The only beverage we received was water									
The water was in glasses									
The glasses were dirty									
The only beverage we did receive was water in dirty glasses!									
water was the only beverage we got									
glasses were dirty									
Usha is the nicest bartender in manhattan									
Ask for Usha									
We were a little taken aback									
Although the restaurant looked fairly empty									
They hastily put the table together									
They quickly put a table together for us									
At first we were a little taken aback									
This seemed to present a problem									
The restaurant looked fairly empty									
The only problem is that the manager is a complete incompetent									
The Manager is completely incompetent									
The only problem is the manager									
The manager is a complete incompetent									
The waitress came over									
The waitress asked us if everything was okay									
I was literally shocked									
I was speechless									
I didn't say anything									
The waitress walked away									
Waitress come and ask if everything is okay									
I was speechless and shocked whilst she walked away									
the waitress asked if everything was okay									
I was shocked									
Bad staff									
Staff is bad									
Staff was bad									
Both times I was extremely disappointed by the service									
The service was boarderline rude									
It was borderline rude									
I was disappointed									
The service was rude									
The problem is the wait									
We have a drink while waiting									
The only problem is the wait									
We just have a drink in the front while waiting									
The waiting is the only problem									
She is friendly									
It is annoying									
She is very friendly									
This is annoying									
She is very friendly with certain people									
This is more annoying									
My friend left out that the bartender disappeared									
We sat down									
We sat down at the bar									
But the bartender disappeared									
My friend left one thing out									
The bartender disappeared									
That is highly forgivable									
But that is highly forgivable									
The waiters don't wipe your chin									
You leave									
The only thing the waiters don't do for you is wipe your chin when you leave									
The waiters don't wipe your chin when you leave									
The servers were extremely attentive									
The servers were very friendly									
The servers were friendly									
The owner is belligerent to guests that have a complaint									
The owner is belligerent									
Guests have complaints									
The owner truly caters to all your needs									
The owner caters to your needs									
The owner caters to all your needs									
The service is horrid									
But the service is HORRID!									
The service is horrid!									
The owners are great fun									
The beer selection is worth staying for									
The owners are fun									
but the service was a bit slow									
The service was a bit slow									
Slow service									
 Not fast service									
 Slow help									
The staff was horrible									
Staff were horrible to us									
The staff was horrible to us									
The people that work there are always friendly									
The people that work there make you forget you are in New York sometimes									
The people are friendly									
The people that work there are always so friendly									
You forget you are in New York sometimes									
The place is small									
Very intimate but is a little crowded									
Service is excellent									
Great to take friends out									
Great for romantic date or special occasion									
The place is intimate									
You may feel crowded									
the service is excellent									
It is great for friends									
It is great for a date									
It is great for a special occasion									
you may feel a little crowded									
it's great for friends out									
it's great for a romantic date									
it's great for a special occasion									
But they do									
But who says Murray's is anything about service									
Murray's is anything about service									
The place is cool									
The service is prompt									
The service is curtious									
The place is so cool									
The service is courteous									
The service is prompt and curtious									
The place had a complete lack of service									
I had a real problem with this place									
The problem with this place was lack of service									
It was the lack of service									
We finished out dinner									
We had not received one beverage									
We had not received one hooka									
By the time we finished our dinner we still had not received one beverage!									
By the time we finished our dinner we still had not received hooka!									
We finished our dinner									
We still had not received one beverage									
We still had not received hooka									
The server was really cool									
The server served us our food with a smile									
The server served us our drinks with a smile									
Sever was really cool									
The server was cool									
The server served us our food									
There server served us with a smile									
The server served us our drinks									
It can be busy on Fridays for a table									
The service is efficient									
You can be in and out of there quickly									
Can get busy on Fridays for a table but once seated									
The service is so efficient you can be in and out of there quickly									
It can get busy on Fridays									
It can get busy for a table									
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty for deigning to attract their attention									
The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel ashamed for deigning to attract their attention									
At Flatbush Farm the servers make you feel guilty									
The servers make you feel ashamed									
The servers do not like you to attract their attention									
We were comfortable									
It was closing time									
We were the last patrons there									
We were there till after closing time									
The waitstaff did not rust us									
The waitstaff made us feel comfortable									
The waitstaff made us feel relaxed									
The staff did not rush us									
The staff made us feel comfortable									
The staff made us feel relaxed									
The servers are behind the counter									
The servers are always friendly									
The servers are always helpful									
The servers are friendly									
The servers are helpful									
I expect better service									
The cost is $60 per head									
Considering you will spend at least $60 a head, I expect better service									
You will spend at least $60 a head									
The service is amazing									
All the waiters I've had were nice									
It's rare to have nice waiters in NYC									
All the waiters are nice									
It was a cute place									
The wait staff were nice									
However, would never go there again									
Cute, place, nice wait staff									
It is cute place									
They have nice wait staff									
We would never go there again									
Delivery can be spot on									
Delivery can be lacking									
Delivery can depend on the weather									
Delivery can depend on the day of the week									
Delivery depends on weather and day of the week									
Delivery can be lacking depending on the weather									
Delivery can be lacking depending on the day of the week									
The service is awful									
Delivery guys sometimes get upset									
If you don't tip more than 10%									
The delivery guy sometimes gets upset									
He sometimes gets upset if you don't tip more than 10%									
Delivery guy sometimes get upset if you don't tip more than 10%									
The decor is great									
The food is delicious									
The food comes in large portions									
The food is delicious and comes in large portions									
Delivery is fast									
Fast delivery									
Is fast too									
Delivery too is fast									
Delivery is fast, too									
the service is fantastic									
the place is fun									
This is a fun place									
The service is slow									
They don't toast									
Service is slow									
The ambience is good for a date									
The ambience is good for a group outing									
The ambiance is good for a date or group outing									
The ambience is good for group outing									
The service is good for a date									
The service is good for group outing									
The restaurant is clean									
The front of house staff has been so hideous									
The waiters are fantastic									
Would not return if it wasn't for their exceptional fish dishes									
The front of house greeters and seaters are hideous									
The fish dishes are exceptional									
The fish dishes make me want to return									
The front of house staff has been hideous									
The front of house staff greet and seat you									
The fish dishes were exceptional									
I return only for the exceptional fish dishes									
The service is ok									
Some people didn't get what they asked for									
Some of the people didn't get what they asked for									
They over charged me									
This happened the last time I was there									
They overcharged me									
I was there									
They overcharged me the last time									
The service is really attentive									
The service is really charming									
The service is charming									
We are waiting for a couple items									
The order was incorrect									
We were still waiting for a couple items									
The order was not correct									
The service leaves much to be desired									
It feels like you are rushed to place your order									
They ignore you for the rest of the night									
The service is lacking									
It makes you feel rushed									
You are being totally ignored									
You feel like you are being rushed to place your order									
You feel like you are being ignored for the rest of the night									
The service ranges from mediocre to offensive									
The servcie ranges from mediocre									
The service ranges to offensive									
The services are mediocre									
The services are expensive									
The service varys from day to day									
Sometimes service is very nice									
Sometimes service is not very nice									
The service sometimes is very nice									
The service sometime is not very nice									
The service is nice									
The service is not nice									
The service varies									
It was the worst service we had ever received									
 Everyone agreed it was the worst service									
Everyone that sat in the back outside agreed									
Everyone sat in back outside									
Everyone agreed that service was poor ever they get									
The service was attentive									
The service was discreet									
Servers were attentive									
everyone was cheerfully cooperative									
everyone was helpful									
Everyone was cooperative									
Everyone was more then happy with his choices									
All we pleased with his choices									
 His choices we good									
 All we happy with the selections									
Everyone was smiling so that made me feel welcome									
Everyone was smiling									
That made me feel welcome									
The service was friendly									
The service was friendly and attentive									
The service was excellent and attentive									
My wife stood facing the staff									
My wife asked the staff a question									
My wife stood									
My wife asked									
My wife stood face to face in front of one of the staff									
She asked									
The food was delicious									
The coffee was good even by Starbucks standards									
The food was outstanding									
The coffee was good									
The coffee would meet Starbucks' standards									
The food came fast									
The food came together									
I liked it									
The came all together									
I like that									
I hate the pretentiousness of things coming one after the other									
I like that the food came fast									
I like that the food came all together									
I hate things coming in one after the other									
For each course we waited over 1/2 hour to 45 minutes									
We were never offered a drink									
They were never offered a drink									
We waited over 1/2 hour to 45 minutes									
Plates were just dumped on the table									
I was handed the wine list upside down									
Plates were dumped on the table									
 I was handed the wine list upside-down									
They delivered us someone else's order									
They delivered someone else's order									
The service was exceptional									
There was a feeling that we were served by the army of friendly waiters									
There was a feeling that we were served by an army of waiters									
The waiters were friendly									
We felt that we were served by the army of friendly waiters									
Friendly staff that actually lets you enjoy your meal									
Friendly staff that actually lets you enjoy the company you're with									
The staff were friendly									
They let you enjoy your meal									
They let you enjoy the company you're with									
The staff is friendly									
The staff lets you enjoy your meal									
The staff lets you enjoy your company									
The service was extremely fast									
There is a service button on the table									
I barely understood a word when the waiter took our order									
The service was fast and attentive									
There is a service button at the table									
I couldn't understand the waiter									
The service was fast									
The service at Volare is 1st class									
The food at Volare is terrific									
Volare has 1st class service									
Volare has terrific food									
Go to Volare for 1st class service									
Go to Volare for terrific food									
The food was very tasty									
They had the best hot sauce to add to your meals									
The service was fast and friendly									
The food was tasty and the service was fast and friendly									
They had the best hot sauce									
Their service is fast									
Good service									
Fast service									
The service is great									
The seating is fast									
The delivery is fast									
The sushi is excellent									
Great friendly service									
We were seated fast									
Sushi was delivered fast									
Sushi was excellent									
The seating was fast									
The delivery was fast									
The sushi was excellent									
The atmosphere was casual									
The service was impeccable									
The service was unobtrusive									
The staff knows what they are there to do									
They present your meal									
They attend to your needs									
They know their menu									
The staff knows their menu									
The staff presents your meal									
They staff attends to your needs									
The staff attends to your needs									
The service was quick									
 The service was friendly									
The waiter's recommendations were amazing!									
The service was spectacular									
The waiter knew everything about the menu									
The waiter knew everything about menu									
Recommendations given by waiter were amazing									
the bag is very expensive									
the bag is luxurious									
Great staff									
We had to wait for everything									
We had to ask several of different people for the same thing before we were allowed to be served									
We had to ask for different people for the same thing									
Several of different people asked for the same thing									
We were allowed to be served									
The service was the only thing good									
The only thing good about the restaurant									
The restaurant's service was good									
The service was the only thing good about this restaurant									
The sommelier is fantastic									
The sommelier is down-to-earth									
The sommelier is extremely knowledgable									
The sommelier is knowledgeable									
The sommelier is down to earth									
The sommelier is extremely knowlegable									
The staffs are friendly									
The decoration was ethic									
The decoration was colorful									
The staff are friendly									
The decor was ethic									
The decor was colorful									
Waited for twenty minutes									
Guess what, I waited for TWENTY minutes before she came over and when she finally did, she says,									
I waited for TWENTY minutes before she came over									
When she finally came over, she says,									
The staff has been nice									
The staff seem stressed									
The unisex bathroom needs to be cleaned									
The staff was nice									
Staff had to clean more often									
Unisex bathrooms require more attention									
The staff seems stressed									
Bathroom needs to be cleaned often									
It had no flavor									
The staff is rude									
The staff is not attentive									
Had no flavor									
Staff is rude									
Staff is not attentive									
The food had no flavor									
Never had a problem with service									
Once there was rice missing									
Have never had a problem with service save a missing rice once									
they have good service									
He offers subpar service									
He has no personality									
He offers excellent service									
The staff is incredibly helpful									
The staff is attentive									
The staff is incredibly attentive									
Service was helpful									
Average price per dish was $10									
Helpful service									
Average prices									
Price per dish is $10									
The staff is no nonsense									
The staff is sensible of									
The staff is not non-sense									
His response was smug									
His response was arrogant									
His response was condescending									
His deportment was on display all evening									
His response was consistent with his deportment all evening									
His response was totally consistent with his deportment									
The staff is pretty friendly									
The service leaves a bad taste in my mouth									
The service leaves a bad taste									
The taste in my mouth is bad									
