It wasn't that busy		it| wasn't| that busy							
The service was slow		the service| was| slow							
The waitress took forever to give us our check		the waitress| took forever| to give us our check							
When the bill came, nothing was comped		nothing| was comped| when the bill came	the bill| came						
I told the manager very politely that we were willing to pay for the wine		I| told| the manager| very politely| that we were willing to pay for the wine	we| were willing| to pay for the wine						
I didn't think I should have to pay for food with a maggot in it		I| didn't think| I should have to pay for food with a maggot in it	I| should have| to pay for food with a maggot in it						
Nothing was comped on the bill		nothing| was comped| on the bill							
I told the manager very politely we were willing to pay for the wine		I| told| the manager| very politely| we were willing to pay for the wine	we| were willing| to pay for the wine						
There was maggot in my food		there| was| maggot in my food							
I will pay for wine		I| will pay| for wine							
The service was prompt		the service| was| prompt							
The service was courteous		the service| was| courteous							
Service was prompt		service| was| prompt							
Service was courteous		service| was| courteous							
The main course arrived after 45 minutes		the main course| arrived| after 45 minutes							
When the main course arrived half of the order was missing		half of the order| was| missing| when the main course arrived							
The main course finally arrived		the main course| finally arrived							
The main course took another 45 minutes		the main course| took| another 45 minutes							
Half of our order was missing	half of our order was missing.	half of our order| was| missing							
It took 45 minutes	It took 45 minutes.	it| took| 45 minutes							
Half our order was missing	Half our order was missing.	half our order| was| missing							
Service was friendly	Service was friendly.	service| was| friendly							
Service was great	Service was great.	service| was| great							
 Service was friendly	Service was friendly.	service| was| friendly							
 Service was great	Service was great.	service| was| great							
The waiter refused to bring me the the wine card	The waiter refused to bring me the the wine card.	the waiter| refused| to bring me the the wine card							
We finally flagged someone	We finally flagged someone.	we| flagged| someone| finally							
It was not the same person who dropped off the food	It was not the same person who dropped off the food.	it| was not| the same person who dropped off the food	the same person| dropped off| the food						
It was a different person who took our order	It was a different person who took our order.	it| was| a different person who took our order.	a different person| took| our order						
We were finally able to flag someone down	We were finally able to flag someone down.	we| were able| to flag someone down| finally							
It was someone entirely different from the person who had dropped off the food	It was someone entirely different from the person who had dropped off the food.	it| was| someone entirely different from the person who had dropped off the food	the person| had dropped off| the food						
It was not the person who had taken our order	It was not the person who had taken our order.	it| was not| the person who had taken our order	the person| had taken| our order						
Service was quick	Service was quick.	service| was| quick							
We inquired about ports	We inquired about ports.	we| inquired| about ports							
Waitress didn't know taste variations	Waitress didn't know taste variations.	waitress| didn't know| taste variations							
Waitress didn't know cost	Waitress didn't know cost.	waitress| didn't know| cost							
The waitress listed off several	The waitress listed off several.	the waitress| listed off| several							
She did not know taste variations	She did not know taste variations.	she| did not know| taste variations							
She did not know cost	She did not know cost.	she| did not know| cost							
The waitress listed off several ports	The waitress listed off several ports.	the waitress| listed off| several ports							
The waitress did not know taste variations or cost	The waitress did not know taste variations or cost.	the waitress| did not know| taste variations or cost							
Service was slow	Service was slow.	service| was| slow							
 We had to wait to order	We had to wait to order.	we| had| to wait to order							
 We had to wait to get food	We had to wait to get food.	we| had| to wait to get food							
 It was not crowded	It was not crowded.	it| was not| crowded							
Service was not crowded	Service was slow.	service| was| slow							
Had to wait to order	Service was not crowded.	[subject missing]| had| to wait to order							
Had to order food	Had to wait to order.	[subject missing]| had| to order food							
It was not crowded	Had to order food.	it| was not| crowded							
I had to wait to order	I had to wait to order.	I| had| to wait to order							
I had to wait to get food	I had to wait to get food.	I| had| to wait to get food							
We were sat	We were sat.	we| were sat							
We got great service	We got great service.	we| got| great service							
We got fast service	We got fast service.	we| got| fast service							
We have great service	We have great service.	we| have| great service							
We have fast service	When we sat, we got great service.	we| got| great service| when we sat							
When we sat, we got great service	When we sat, we got fast service.	we| got| fast service| when we sat							
When we sat, we got fast service	The people were friendly.	the people| were| friendly							
The people were friendly	Service was small.	service| was| small							
Service was small	People were friendly.	people| were| friendly							
People were friendly	we were offered a meager discount	we| were offered| a meager discount							
We threatened to leave	We threatened to leave.	we| threatened| to leave							
We were offered a meager discount	We were offered a meager discount.	we| were offered| a meager discount							
Half the order was missing	Half the order was missing.	half the order| was missing							
we were offered a discount	we were offered a discount.	we| were offered| a discount							
the discount was meager	the discount was meager.	the discount| was| meager							
Which lets face it	Which lets face it.	which| lets face| it							
At times it's a good thing									
Which lets face it....at times it's a good thing.									
Let us face it	Let us face it.	[subject missing]| let face| us| it							
Service was very good - prompt	Service was very good - prompt.	service| was| very good	service| was| prompt						
Service was very good - attentive	Service was very good - attentive.	service| was| very good	service| was| attentive						
Service was very good - non-intrusive	Service was very good - non-intrusive.	service| was| very good	service| was| non-intrusive						
Service was very good	Service was very good.	service| was| very good							
Service was atentive	Service was atentive.	service| was| atentive							
Service was non-intrusive	Service was non-intrusive.	service| was| non-intrusive							
Service was prompt, attentive and non-intrusive	Service was prompt, attentive and non-intrusive.	service| was| prompt	service| was| attentive	service| was| non-intrusive					
I could have done without the youth who shared the evening with us	I could have done without the youth who shared the evening with us.	I| could have done| without the youth who shared the evening with us	the youth| shared| the evening| with us						
Our server was wonderful	Our server was wonderful.	our server| was| wonderful							
Our experience was positive	Our experience was positive.	our experience| was| positive							
I could have done without the youth	I could have done without the youth.	I| could have done| without the youth							
The youth shared the evening with us	The youth shared the evening with us.	the youth| shared| the evening| with us							
The server was wonderful	The server was wonderful.	the server| was| wonderful							
The food was wonderful	The food was wonderful.	the food| was| wonderful							
The experience was a positive one	The experience was a positive one.	the experience| was| a positive one							
While i could have done without the youth	While i could have done without the youth.	i| could have done| without the youth| while							
The wonderful server made the experience positive	The wonderful server made the experience positive.	the wonderful server| made| the experience positive							
The food made the experience positive one	The food made the experience positive one.	the food| made| the experience positive one							
Our service was prompt if a little rushed	Our service was prompt if a little rushed	our service| was| prompt| if a little rushed							
Service was very prompt	Service was very prompt.	service| was| very prompt							
Service was slightly rushed	Service was slightly rushed.	service| was| slightly rushed							
Every place indeed is different	Every place indeed is different.	every place| is| different indeed							
There is not any need to be uncourteous to customers and downright rude	There is not any need to be uncourteous to customers and downright rude.	there| is not| any need to be uncourteous to customers	there| is not| any need to be downright rude						
Every place is different	Every place is different.	every place| is| different							
There was no need to be uncourteous	There was no need to be uncourteous.	there| was| no need to be uncourteous							
There was no need to be rude to customers	There was no need to be rude to customers.	there| was| no need to be rude to customers							
It is understandable that every place is different	It is understandable that every place is different.	it| is| understandable that every place is different							
There was no need to be rude	There was no need to be rude.	there| was| no need to be rude							
Mioposto's service was bad	Mioposto's service was bad.	Mioposto's service| was| bad							
The food was overpriced	The food was overpriced.	the food| was| overpriced							
Most restaurants in Seattle are the same	Most restaurants in Seattle are the same.	most restaurants| are| the same|  in Seattle							
Mioposto's was overpriced	Mioposto's was overpriced.	Mioposto's| was| overpriced							
As with most restaurants in Seattle, Mioposto's service was bad	As with most restaurants in Seattle, Mioposto's service was bad.	Mioposto's service| was| bad| as with most restaurants in Seattle							
Wonderful service	Wonderful service.	service| is| wonderful							
Wonderful service it was	Wonderful service it was.	it| was| wonderful service							
Service was wonderful;	Service was wonderful;	service| was| wonderful							
Service is wonderful	Service is wonderful.	service| is| wonderful							
Winnie is the best serving you	Winnie is the best serving you.	Winnie| is| the best serving you							
Winnie's staff are the best at serving you	Winnie's staff are the best at serving you.	Winnie's staff| are| the best at serving you							
Winnie and her staff are the best crew you can find serving you	Winnie and her staff are the best crew you can find serving you	Winnie and her staff| are| the best crew you can find serving you							
Winnie and her staff are the best serving crew	Winnie and her staff are the best serving crew	Winnie and her staff| are| the best serving crew							
Mercedes restaurant is so tasty	Mercedes restaurant is so tasty	Mercedes restaurant| is| so tasty							
The service is undeniably awesome	The service is undeniably awesome	the service| is| undeniably awesome							
The restaurant is tasty	The restaurant is tasty	the restaurant| is| tasty							
The service is awesome	The service is awesome	the service| is| awesome							
Mercedes restaurant is tasty	Mercedes restaurant is tasty	Mercedes restaurant| is| tasty							
 The awesome service is undeniable!	The awesome service is undeniable!	the awesome service| is| undeniable							
The service is friendly	The service is friendly	the service| is| friendly							
The service is attentive	The service is attentive	the service| is| attentive							
Service was attentive	Service was attentive	service| was| attentive							
service is friendly	service is friendly	service| is| friendly							
service is attentive	service is attentive	service| is| attentive							
We were treated rudely here	We were treated rudely here	we| were treated| rudely| here							
We were here for breakfast	We were here for breakfast	we| were| here| for breakfast							
we were treated very badly	we were treated very badly	we| were treated| very badly							
we had breakfast here one time	we had breakfast here one time	we| had| breakfast| here| one time							
We were treated badly for breakfast	We were treated badly for breakfast	we| were treated| badly for breakfast							
Won't is not in the service directory	Won't is not in the service directory	won't| is not| in the service directory							
Can't is not in the service directory	Can't is not in the service directory	can't| is not| in the service directory							
The service was excellent	The service was excellent	the service| was| excellent							
I liked the setting	I liked the setting	I| liked| the setting							
I liked the atmosphere a lot	I liked the atmosphere a lot	I| liked| the atmosphere a lot							
The service was good	The service was good	the service| was| good							
The atmosphere was pleasant	The atmosphere was pleasant	the atmosphere| was| pleasant							
Service was excellent	Service was excellent	service| was| excellent							
I liked the setting a lot	I liked the setting a lot	I| liked| the setting a lot							
Worst Service I Ever Had	Worst Service I Ever Had	I| had| Worst Service Ever							
Shame on this place for the horrible rude staff	Shame on this place for the horrible rude staff	shame| is| on this place| for the horrible rude staff							
Shame on this place for the non-existent customer service	Shame on this place for the non-existent customer service	shame| is| on this place| for the non-existent customer service							
This place is horrible	This place is horrible	this place| is| horrible							
The staff were rude	The staff were rude	the staff| were| rude							
There was no customer service	There was no customer service	there| was| no customer service							
This place should be ashamed	This place should be ashamed	this place| should be| ashamed							
The staff is horribly rude	The staff is horribly rude	the staff| is| horribly rude							
The customer service is non-existent	The customer service is non-existent	the customer service| is| non-existent							
You can get a table without a reservation if you get there early	You can get a table without a reservation if you get there early	you| can get| a table without a reservation| if you get there early							
They don't make you buy bottles	They don't make you buy bottles	they| don't make| you| buy bottles							
You can get a table	You can get a table	you| can get| a table							
You don't need a reservation if you get there early	You don't need a reservation if you get there early	you| don't need| a reservation| if you get there early							
She doesn't make you feel welcome	She doesn't make you feel welcome	she| doesn't make| you| feel welcome							
She treats you like an annoyance	She treats you like an annoyance	she| treats| you like an annoyance							
Did not feel welcome	Did not feel welcome	[subject missing]| did not feel| welcome							
She nodded	She nodded	she| nodded							
She walked off	She walked off	she| walked off							
She just nodded	She just nodded	she| nodded| just							
That is a must	That is a must	that| is| a must							
Not every restaurant can do this	Not every restaurant can do this	not every restaurant| can do| this							
Every restaurant must do	Every restaurant must do	every restaurant| must do							
(that is A MUST, but not every restaurant can do...)	(that is A MUST, but not every restaurant can do...)	that| is| A MUST| but not every restaurant can do	not every restaurant| can do						
You can order to go	You can order to go	you| can order| to go							
You can order to go if you have to get back to the office too!	You can order to go if you have to get back to the office too!	you| can order| to go| if you have to get back to the office| too							
You need to watch your game	You need to watch your game	you| need| to watch your game							
They will have it on for you	They will have it on for you	they| will have| it on for you							
They will have the game on for you	They will have the game on for you	they| will have| the game on for you							
You would think they would make up for it with service, sadly, no	You would think they would make up for it with service, sadly, no	you| would think| they would make up for it with service| sadly| no	they| would make up| for it with service						
You would think the would make up for it with service	You would think the would make up for it with service	you| would think| the would make up for it with service	the| would make up| for it with service						
They don't	They don't	they| don't							
They didn't make up for it with service	They didn't make up for it with service	they| didn't make up| for it| with service							
6pm on a Sat before a Broadway play	6pm on a Sat before a Broadway play	[subject missing]| is| 6pm on a Sat before a Broadway play							
We were quickly seated and served	We were quickly seated and served	we| were seated| quickly	we| were served| quickly						
It was 6pm on a Saturday	It was 6pm on a Saturday	it| was| 6pm on a Saturday							
It was before a Broadway play	It was before a Broadway play	it| was| before a Broadway play							
We were quickly seated	We were quickly seated	we| were seated| quickly							
We were quickly served	We were quickly served	we| were served| quickly							
6PM on Saturday before a Broadway play	6PM on Saturday before a Broadway play	[subject missing]| is| 6PM on Saturday before a Broadway play							
There was a brief conversation with the manager	There was a brief conversation with the manager	there| was| a brief conversation with the manager							
It was at the end of the meal	It was at the end of the meal	it| was| at the end of the meal							
It was the greatest disappointment	It was the greatest disappointment	it| was| the greatest disappointment							
There was a conversation with the manager	There was a conversation with the manager	there| was| a conversation with the manager							
It was brief	It was brief	It| was| brief							
The conversation was a disappointment	The conversation was a disappointment	the conversation| was| a disappointment							
The conversation was brief	The conversation was brief	the conversation| was| brief							
We talked with the manager at the end of the meal	We talked with the manager at the end of the meal	we| talked| with the manager| at the end of the meal							
Enhanced the fun	Enhanced the fun	[subject missing[| enhanced| the fun							
The server dumped our entrees	The server dumped our entrees	the server| dumped| our entrees							
In front of us	In front of us	[subject missing]| is| in front of us							
Through our appetizer	Through our appetizer	[subject missing]| is| through our appetizer							
It was delicious	It was delicious	it| was| delicious							
There was a different server	There was a different server	there| was| a different server							
He enhanced the fun	He enhanced the fun	he| enhanced| the fun							
He dumped our entrees in front of us	He dumped our entrees in front of us	he| dumped| our entrees| in front of us							
He served us halfway through our appetizer	He served us halfway through our appetizer	he| served| us| halfway through our appetizer							
The appetizer was delicious	The appetizer was delicious	the appetizer| was| delicious							
A different server enhanced the fun	A different server enhanced the fun	a different server| enhanced| the fun							
The server dumped our entrees in front of us	The server dumped our entrees in front of us	the server| dumped| our entrees| in front of us							
A gentleman came to our table	A gentleman came to our table	a gentleman| came| to our table							
Without so much as a smile asked for our order	Without so much as a smile asked for our order	[subject missing]| asked| for our order| without so much as a smile							
A gentleman came without a smile	A gentleman came without a smile	a gentleman| came| without a smile							
A gentleman without a smile	A gentleman without a smile	a gentleman| is| without a smile							
A gentleman is the manager	A gentleman is the manager	a gentleman| is| the manager							
A gentleman came without so much as a smile or greeting	A gentleman came without so much as a smile or greeting	a gentleman| came| without so much as a smile	a gentleman| came| without so much as a greeting						
A gentleman is asked for order	A gentleman is asked for order	a gentleman| is asked| for order							
The gentleman came to our table	The gentleman came to our table	the gentleman| came| to our table							
The gentleman did not smile	The gentleman did not smile	the gentleman| did not smile							
The gentleman did not greet us	The gentleman did not greet us	the gentleman| did not greet| us							
He asked for our order	He asked for our order	he| asked| for our order							
She promised to speak to the waitress	She promised to speak to the waitress	she| promised| to speak to the waitress							
The waitress had flown off in a rage	The waitress had flown off in a rage	the waitress| had flown off| in a rage							
We could hardly take her promise seriously	We could hardly take her promise seriously	we| could hardly take| her promise seriously							
She hadn't bothered to get the waitress's name	She hadn't bothered to get the waitress's name	she| hadn't bothered| to get the waitress's name							
She didn't bothered to get the waitresses name	She didn't bothered to get the waitresses name	she| didn't bothered| to get the waitresses name							
The waitress was rude	The waitress was rude	the waitress| was| rude							
She didn't get the waitress's name	She didn't get the waitress's name	she| didn't get| the waitress's name							
They are a little crowded	They are a little crowded	they| are| a little crowded							
They move that line really fast!	They move that line really fast!	they| move| that line really fast							
A line was little crowded	A line was little crowded	a line| was| little crowded							
They moved that line really fast	They moved that line really fast	they| moved| that line really fast							
A little crowded	A little crowded	[subject missing]| is| a little crowded							
They move the line fast	They move the line fast	they| move| the line fast							
She replied	She replied	she| replied							
You can't dine here	You can't dine here	you| can't dine| here							
You can't disturb the maitre-D	You can't disturb the maitre-D	you| can't disturb| the maitre-D							
You can't disturb the maitre d	You can't disturb the maitre d	you| can't disturb| the maitre d							
She put the check down	She put the check down	she| put down| the check							
She didn't ask if we were done	She didn't ask if we were done	she| didn't ask| if we were done							
She came to check on the bill every two minutes	She came to check on the bill every two minutes	she| came| to check on the bill| every two minutes							
We were one of three occupied tables	We were one of three occupied tables	we| were| one of three occupied tables							
She then put the check down without asking if we were done	She then put the check down without asking if we were done	she| put down| the check| without asking if we were done| then	we| were| done						
She did not ask if we were done	She did not ask if we were done	she| did not ask| if we were done	we| were| done						
they have great food	they have great food	they| have| great food							
Their prices are reasonable	Their prices are reasonable	their prices| are| reasonable							
The service was great	The service was great	the service| was| great							
The food was great	The food was great	the food| was| great							
The price was reasonable	The price was reasonable	the price| was| reasonable							
The evening was great	The evening was great	the evening| was| great							
Great service	Great service	service| is| great							
Great food	Great food	food| is| great							
Reasonable price	Reasonable price	price| is| reasonable							
Have yourself the beginning of a great evening	Have yourself the beginning of a great evening	[subject missing]| have| yourself| the beginning of a great evening							
She was very helpful in suggesting us drink	She was very helpful in suggesting us drink	she| was| very helpful in suggesting us drink							
She helped us in ordering a lot of good dishes	She helped us in ordering a lot of good dishes	she| helped| us| in ordering a lot of good dishes							
We knew nothing about Indian food	We knew nothing about Indian food	we| knew| nothing about Indian food							
She was very helpful	She was very helpful	she| was| very helpful							
She suggested us drinks	She suggested us drinks	she| suggested| us| drinks							
She helped us order	She helped us order	she| helped| us| order							
We ordered a lot of good dishes	We ordered a lot of good dishes	we| ordered| a lot of good dishes							
She was very helpful in suggesting us drinks	She was very helpful in suggesting us drinks	she| was| very helpful in suggesting us drinks							
We know nothing about Indian food	We know nothing about Indian food	we| know| nothing about Indian food							
They should check on us more often	They should check on us more often	they| should check| on us| more often							
They complained to me about the small tip	They complained to me about the small tip	they| complained| to me| about the small tip							
They complained to me	They complained to me	they| complained| to me							
It was about the tip	It was about the tip	it| was| about the tip							
The tip was small	The tip was small	the tip| was| small							
They complained about the tip	They complained about the tip	they| complained| about the tip							
After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.	After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.	the manager| grabbed| my boyfriend| asked him: Where are you from...maybe you dont know how things work in America| after dinner	the manager| stormed away| almost teareyed| yelling that tips are the only thing they survive on| in the end						
The manager asked my boyfriend a question	The manager asked my boyfriend a question	the manager| asked| my boyfriend| a question							
The manager made a scene	The manager made a scene	the manager| made| a scene							
The manager grabbed my boyfriend after dinner	The manager grabbed my boyfriend after dinner	the manager| grabbed| my boyfriend| after dinner							
The manager asked him where he was from	The manager asked him where he was from	the manager| asked| him| where he was from	he| was| from| where						
He suggested my boyfriend doesn't know how things work in America	He suggested my boyfriend doesn't know how things work in America	he| suggested| my boyfriend doesn't know how things work in America	my boyfriend| doesn't know| how things work in America		things| work| in America| how				
Finally he said tips are the only thing they survive on	Finally he said tips are the only thing they survive on	he| said| tips are the only thing they survive on| finally	tips| are| the only thing they survive on	they| survive| on| the only thing					
One member of our party was bumped repeatedly by a waitress	One member of our party was bumped repeatedly by a waitress	one member of our party| was bumped| repeatedly| by a waitress							
A waitress repeatedly bumped one member of our party	A waitress repeatedly bumped one member of our party	a waitress| bumped| one member of our party| repeatedly							
A polite request that he not be bumped sent the waitress into an abusive rant	A polite request that he not be bumped sent the waitress into an abusive rant	a polite request that he not be bumped| sent| the waitress into an abusive rant	he| not be bumped	the waitress| is| into an abusive rant					
One member of our party was bumped repeatedly	One member of our party was bumped repeatedly	one member of our party| was bumped| repeatedly							
They were bumped by a waitress	They were bumped by a waitress	they| were bumped| by a waitress							
We politely requested not to be bumped	We politely requested not to be bumped	we| requested| not to be bumped| politely							
The waitress went into a rant	The waitress went into a rant	the waitress| went| into a rant							
The rant was abusive	The rant was abusive	the rant| was| abusive							
The waitress went on an abusive rant	The waitress went on an abusive rant	the waitress| went| on an abusive rant							
Snotty Attitude	Snotty Attitude	attitude| is| snotty							
Attitude snotty	Attitude snotty	attitude| is| snotty							
So rude	So rude	[subject missing]| is| so rude							
So rude!!!	So rude!!!	[subject missing]| is| so rude							
We were sitting at the bar for over 30 minutes	We were sitting at the bar for over 30 minutes	we| were sitting| at the bar| for over 30 minutes							
The bar keep had made only 2 drinks	The bar keep had made only 2 drinks	the bar keep| had made| only 2 drinks							
The bar keep kept telling us she'd be right with us	The bar keep kept telling us she'd be right with us	the bar keep| kept telling| us| she'd be right with us							
The bar keep made only 2 drinks	The bar keep made only 2 drinks	the bar keep| made| only 2 drinks							
We sat at the bar for over 20 minutes	We sat at the bar for over 20 minutes	we| sat| at the bar| for over 20 minutes							
The bar keep had made only two drinks	The bar keep had made only two drinks	the bar keep| had made| only two drinks							
Rushing us out wasn't necessary	Rushing us out wasn't necessary	rushing us out| wasn't| necessary							
They rushed us out unnecessarily	They rushed us out unnecessarily	they| rushed| us| out| unnecessarily							
They rushed us	They rushed us	they| rushed| us							
It was unnecessary to rush us	It was unnecessary to rush us	it| was| unnecessary to rush us							
So rushing us out was absolutely unnecessary!	So rushing us out was absolutely unnecessary!	rushing us out| was| absolutely unnecessary| so							
After sitting there with my empty glass for over 20 minutes I left	After sitting there with my empty glass for over 20 minutes I left	I| left| after sitting there with my empty glass for over 20 minutes	I| sitting| there| with my empty glass| for over 20 minutes						
I sat with my glass	I sat with my glass	I| sat| with my glass							
My glass was empty	My glass was empty	my glass| was| empty							
I sat for over twenty minutes	I sat for over twenty minutes	I| sat| for over twenty minutes							
I left afterwards	I left afterwards	I| left| afterwards							
I sat there with my empty glass for over 20 minutes	I sat there with my empty glass for over 20 minutes	I| sat| there| with my empty glass| for over 20 minutes							
I left	I left	I| left							
I sat there for over 20 minutes with my empty glass	I sat there for over 20 minutes with my empty glass	I| sat| there| for over 20 minutes| with my empty glass							
If you're thinking about dining, see who's going to be seating you first	If you're thinking about dining, see who's going to be seating you first	[subject missing]| see| who's going to be seating you first| if you're thinking about dining	who| 's going| to be seating you| first	you| 're thinking| about dining					
See who's going to be seating you first before dining	See who's going to be seating you first before dining	[subject missing]| see| who's going to be seating you first before dining	who| 's going| to be seating you| first before dining						
If you are walking by and thinking about dining	If you are walking by and thinking about dining	you| are walking by	you| are thinking| about dining						
You might want to see who is seating you first	You might want to see who is seating you first	you| might want| to see who is seating you first	you| see| who is seating you first	who| is seating| you| first					
So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first	So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first	you| might want| to see who's going to be seating you first| so| if you're walking by and thinking about dining	you| 're walking by	you| 're thinking| about dining					
She just took our plates and walked away	She just took our plates and walked away	she| took| our plates| just	She| walked| away| just						
She came back after twenty minutes with the bill and the chicken on it	She came back after twenty minutes with the bill and the chicken on it	she| came back| after twenty minutes| with the bill and the chicken on it							
She took our plates	She took our plates	she| took| our plates							
She took our plates away for twenty minutes	She took our plates away for twenty minutes	she| took| our plates away| for twenty minutes							
She came with the bill after twenty minutes	She came with the bill after twenty minutes	she| came| with the bill| after twenty minutes							
She came with the bill and the chicken	She came with the bill and the chicken	she| came| with the bill	she| came| with the chicken						
She came with chicken after twenty minutes	She came with chicken after twenty minutes	she| came| with chicken| after twenty minutes							
She simply took our plates	She simply took our plates	she| took| our plates| simply							
She walked away	She walked away	she| walked| away							
She came back	She came back	she| came| back							
It was twenty minutes later	It was twenty minutes later	it| was| twenty minutes later							
She had the bill	She had the bill	she| had| the bill							
It had the chicken on it	It had the chicken on it	it| had| the chicken on it							
mille grazie does not constitute proper service	mille grazie does not constitute proper service	mille grazie| does not constitute| proper service							
somehow working the italian charm	somehow working the italian charm	[subject missing]| working| the italian charm| somehow							
They worked the Italian charm	They worked the Italian charm	they| worked| the Italian charm							
It does not constitute proper service	It does not constitute proper service	it| does not constitute| proper service							
Somehow working the Italian charm with constant mille grazie does not constitute proper service	Somehow working the Italian charm with constant mille grazie does not constitute proper service	working the Italian charm with constant mille grazie| does not constitute| proper service| somehow							
After the 4th time i asked again	After the 4th time i asked again	i| asked| again| after the 4th time							
The waiter said after our dinner	The waiter said after our dinner	the waiter| said| after our dinner							
The waiter than said after our dinner	The waiter than said after our dinner	the waiter| said| after our dinner| than							
I asked 4 times	I asked 4 times	I| asked| 4 times							
I asked 4 times before the waiter said after our dinner	I asked 4 times before the waiter said after our dinner	I| asked| 4 times| before the waiter said after our dinner	the waiter| said| after our dinner						
